arrestDate,tutti,italiani,tedeschi,nazifascisti,sconosciuto
1943-10-05,1,0,0,1,0
1943-10-12,1,0,1,0,0
1943-10-21,3,0,3,0,0
1943-10-29,2,0,1,1,0
1943-10-30,1,1,0,0,0
1943-11-01,1,0,0,0,1
1943-11-04,2,0,0,0,2
1943-11-06,2,0,0,1,1
1943-11-08,16,0,15,0,1
1943-11-09,3,0,0,0,3
1943-11-11,2,0,2,0,0
1943-11-16,1,0,0,0,1
1943-11-30,12,2,0,0,10
1943-12-01,2,1,0,0,1
1943-12-02,2,0,1,0,1
1943-12-03,5,1,1,0,3
1943-12-04,3,1,1,0,2
1943-12-05,5,1,0,0,4
1943-12-06,1,0,0,0,1
1943-12-07,3,3,0,0,0
1943-12-08,3,3,0,0,0
1943-12-13,1,0,0,0,1
1943-12-20,10,0,0,0,10
1943-12-31,6,0,0,0,6
1944-01-08,1,0,0,0,1
1944-01-10,1,0,0,0,1
1944-01-11,1,0,0,0,1
1944-01-12,1,0,0,0,1
1944-01-16,1,0,0,0,1
1944-01-20,1,0,0,0,1
1944-01-31,1,0,1,0,0
1944-02-10,1,0,0,0,1
1944-02-11,1,0,1,0,0
1944-02-12,1,0,0,0,1
1944-02-14,1,0,0,0,1
1944-02-19,5,0,0,0,5
1944-02-29,1,0,0,0,1
1944-03-01,5,0,1,0,4
1944-03-11,1,1,0,0,0
1944-03-14,2,0,0,0,2
1944-03-17,2,0,0,0,2
1944-03-20,4,4,0,0,0
1944-03-21,1,0,1,0,0
1944-03-24,2,0,0,0,2
1944-03-30,1,0,0,0,1
1944-03-31,2,0,0,0,2
1944-04-01,9,0,0,0,9
1944-04-05,1,0,1,0,0
1944-04-06,1,0,0,0,1
1944-04-17,1,1,0,0,0
1944-04-20,1,0,0,0,1
1944-04-21,2,0,0,0,2
1944-04-22,4,0,2,0,2
1944-04-24,1,0,0,0,1
1944-04-25,1,0,1,0,0
1944-04-26,2,0,0,0,2
1944-05-01,1,0,0,0,1
1944-05-04,4,0,1,0,3
1944-05-08,24,13,0,3,8
1944-05-10,6,1,1,0,4
1944-05-25,1,1,0,0,0
1944-05-27,2,0,0,0,2
1944-05-28,1,0,0,0,1
1944-05-31,3,0,0,0,3
1944-06-01,2,0,0,0,2
1944-06-07,5,0,0,0,5
1944-06-08,3,0,0,0,3
1944-06-13,6,0,3,0,3
1944-06-23,1,0,0,0,1
1944-06-27,3,1,2,0,0
1944-06-29,2,0,2,0,0
1944-07-01,2,0,0,0,2
1944-07-09,2,0,0,0,2
1944-07-10,4,0,0,0,4
1944-07-11,1,0,0,0,1
1944-07-14,1,0,0,0,1
1944-07-20,1,0,0,0,1
1944-07-25,1,0,0,0,1
1944-07-26,1,0,0,0,1
1944-07-31,1,1,0,0,0
1944-08-04,1,0,0,0,1
1944-08-05,4,0,0,0,4
1944-08-06,1,0,0,0,1
1944-08-08,4,0,0,0,4
1944-08-26,1,0,0,0,1
1944-08-31,6,0,0,0,6
1944-09-20,2,0,1,0,1
1944-10-28,2,0,1,0,1
1944-11-01,1,0,1,0,0
1944-11-02,2,0,0,0,2
1944-11-03,2,0,1,0,1
1944-11-06,5,0,4,0,1
1944-12-01,1,0,0,0,1
1944-12-13,1,0,1,0,0
